Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,3482474115840.58
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,3482474115840.58
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1706091668556.67
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1704891034067.33
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1706091668556.67
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,22848294411119.4
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,84906814189239.5
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
